t,e
49500,0.01446874
49501,0.01448865
49502,0.014622541
49503,0.014784602
49504,0.014936863
49505,0.01513312
49506,0.015437652
49507,0.015653221
49508,0.015996518
49509,0.016355947
49510,0.01672217
49511,0.017144216
49512,0.01759902
49513,0.018073552
49514,0.018606146
49515,0.019091968
49516,0.019744793
49517,0.020280593
49518,0.020906644
49519,0.021594791
49520,0.022231428
49521,0.022921347
49522,0.02364143
49523,0.024362264
49524,0.02509075
49525,0.025825088
49526,0.026609645
49527,0.027367517
49528,0.028096074
49529,0.028941111
49530,0.029675734
49531,0.030447165
49532,0.031251399
49533,0.031998757
49534,0.032772704
49535,0.033506284
49536,0.034280442
49537,0.034991085
49538,0.035704031
49539,0.036393856
49540,0.037114473
49541,0.037705816
49542,0.038370489
49543,0.039003372
49544,0.039524238
49545,0.040116595
49546,0.04062331
49547,0.04110554
49548,0.041557845
49549,0.041949493
49550,0.042373753
49551,0.042682311
49552,0.042967006
49553,0.04332656
49554,0.043464869
49555,0.043711447
49556,0.043859756
49557,0.043953923
49558,0.044022151
49559,0.044032274
49560,0.044020778
49561,0.04394924
49562,0.043798131
49563,0.043708723
49564,0.043466077
49565,0.043224349
49566,0.04298242
49567,0.042634203
49568,0.042301469
49569,0.041887869
49570,0.041500878
49571,0.041021985
49572,0.040523721
49573,0.040042688
49574,0.039488848
49575,0.038906356
49576,0.03833818
49577,0.037752858
49578,0.037070698
49579,0.036484398
49580,0.035805409
49581,0.035146331
49582,0.034463294
49583,0.033778815
49584,0.033112984
49585,0.032383482
49586,0.03169935
49587,0.031046458
49588,0.030296334
49589,0.029641038
49590,0.028993677
49591,0.028276834
49592,0.027676237
49593,0.027014479
49594,0.026435016
49595,0.025829274
49596,0.025257619
49597,0.024763172
49598,0.024221865
49599,0.023716532
49600,0.023358788
49601,0.0228556
49602,0.022511249
49603,0.02217895
49604,0.021852222
49605,0.021569323
49606,0.021337302
49607,0.021117531
49608,0.020937472
49609,0.020765336
49610,0.020661958
49611,0.020573584
49612,0.020452919
49613,0.020480899
49614,0.020431683
49615,0.020426628
49616,0.020506383
49617,0.020545352
49618,0.02063033
49619,0.020746988
49620,0.020882607
49621,0.021036482
49622,0.021203123
49623,0.021404815
49624,0.02166275
49625,0.021831837
49626,0.022170481
49627,0.022429327
49628,0.022723719
49629,0.023067921
49630,0.023426449
49631,0.023762017
49632,0.024156478
49633,0.024551528
49634,0.024964117
49635,0.025362891
49636,0.025814829
49637,0.026268647
49638,0.02669591
49639,0.027167174
49640,0.027672972
49641,0.028105345
49642,0.02860579
49643,0.02910648
49644,0.029552647
49645,0.030062754
49646,0.030479883
49647,0.031012468
49648,0.031394648
49649,0.031836489
49650,0.032328642
49651,0.032669578
49652,0.033087749
49653,0.0335068
49654,0.033825187
49655,0.034194616
49656,0.034502404
49657,0.034802555
49658,0.035089445
49659,0.035276481
49660,0.035565667
49661,0.035704527
49662,0.035835066
49663,0.036013399
49664,0.036059473
49665,0.036125416
49666,0.036138172
49667,0.036150985
49668,0.036064589
49669,0.035992721
49670,0.035852339
49671,0.03571326
49672,0.035463818
49673,0.035241191
49674,0.034980458
49675,0.034616737
49676,0.03427377
49677,0.033912222
49678,0.033438579
49679,0.033012218
49680,0.032506675
49681,0.032019851
49682,0.031448871
49683,0.030867993
49684,0.030338667
49685,0.029627266
49686,0.029035438
49687,0.028361125
49688,0.027652048
49689,0.026960106
49690,0.026219343
49691,0.025494593
49692,0.024736141
49693,0.023915991
49694,0.023198888
49695,0.022351304
49696,0.021523211
49697,0.020774148
49698,0.019886398
49699,0.019093245
49700,0.018262412
49701,0.017446509
49702,0.01663205
49703,0.015779022
49704,0.015014947
49705,0.014190715
49706,0.013369118
49707,0.012603175
49708,0.011839386
49709,0.011016288
49710,0.010323665
49711,0.009556958
49712,0.00884684
49713,0.008138141
49714,0.007466794
49715,0.006806055
49716,0.006147628
49717,0.005525459
49718,0.004968411
49719,0.004338567
49720,0.003840661
49721,0.003357617
49722,0.002862972
49723,0.002496263
49724,0.002197085
49725,0.00192683
49726,0.001871444
49727,0.001886969
49728,0.001999826
49729,0.002240424
49730,0.002520212
49731,0.002798229
49732,0.003156037
49733,0.003475385
49734,0.003827786
49735,0.004173919
49736,0.004489625
49737,0.004893154
49738,0.005154598
49739,0.005522
49740,0.005875638
49741,0.006133958
49742,0.006485291
49743,0.006788053
49744,0.007068381
49745,0.007357903
49746,0.007633818
49747,0.007900754
49748,0.00815179
49749,0.008359932
49750,0.008664034
49751,0.00881374
49752,0.009038729
49753,0.0092598
49754,0.009423729
49755,0.009580842
49756,0.009758279
49757,0.009898105
49758,0.010014708
49759,0.010110335
49760,0.010228837
49761,0.010284047
49762,0.010302504
49763,0.01038755
49764,0.010369083
49765,0.010354482
49766,0.010339626
49767,0.010294668
49768,0.010212641
49769,0.010132623
49770,0.01000326
49771,0.009932837
49772,0.00970619
49773,0.00959657
49774,0.00944069
49775,0.009180603
49776,0.009038268
49777,0.008792925
49778,0.008580704
49779,0.008342501
49780,0.008094194
49781,0.007920006
49782,0.007641604
49783,0.007446892
49784,0.00730168
49785,0.007114187
49786,0.007001217
49787,0.006947213
