core,bed,type,top_m,base_m,thickness_m,age,age_sd
BF1,Analcite,tuff,-55,NA,NA,49.175,0.0385
BF1,Sixth ,tuff,6,NA,NA,49.769,0.0305
BF1,Layered,tuff,28,NA,NA,49.925,0.03
BF1,Main ,tuff,55.39999999999998,NA,NA,50.144,0.031
BF1,Donkey,tuff,89.19999999999999,NA,NA,50.37,0.0295
BF1,Grey ,tuff,159.7,NA,NA,50.864,0.0305
BF1,Boar,tuff,201.7,NA,NA,51.171,0.029
BF1,Second,tuff,244.5,NA,NA,51.286,0.0335
BF1,Firehole ,tuff,287,NA,NA,51.576,0.029
BF1,1448,tuff,305,NA,NA,51.581,0.0405
BF1,Scheggs,tuff,339.5,NA,NA,51.28,0.042
CCR1,Analcite,tuff,-55,NA,NA,49.175,0.0385
CCR1,Sixth ,tuff,5.5,NA,NA,49.769,0.0305
CCR1,Layered,tuff,27.80000000000001,NA,NA,49.925,0.03
CCR1,Main ,tuff,60.80000000000001,NA,NA,50.144,0.031
CCR1,Donkey,tuff,92.5,NA,NA,50.37,0.0295
CCR1,Grey ,tuff,174.9,NA,NA,50.864,0.0305
CCR1,Boar,tuff,222.1,NA,NA,51.171,0.029
CCR1,Second,tuff,269.3,NA,NA,51.286,0.0335
CCR1,Firehole ,tuff,319.3,NA,NA,51.576,0.029
CCR1,1448,tuff,338.4,NA,NA,51.581,0.0405
CCR1,Scheggs,tuff,386,NA,NA,51.28,0.042
WM1,Analcite,tuff,-55,NA,NA,49.175,0.0385
WM1,Sixth ,tuff,3.3000000000000114,NA,NA,49.769,0.0305
WM1,Layered,tuff,23.400000000000034,NA,NA,49.925,0.03
WM1,Main ,tuff,47.400000000000034,NA,NA,50.144,0.031
WM1,Donkey,tuff,73.10000000000002,NA,NA,50.37,0.0295
WM1,Grey ,tuff,131.70000000000002,NA,NA,50.864,0.0305
WM1,Boar,tuff,166.10000000000002,NA,NA,51.171,0.029
WM1,Second,tuff,202.3,NA,NA,51.286,0.0335
WM1,Firehole ,tuff,239.10000000000002,NA,NA,51.576,0.029
WM1,1448,tuff,252.8,NA,NA,51.581,0.0405
