USGSID,Well  Name,OBJECTID,LABNO,TOPFT,BOTFT,,Member,Member Top,County,1/41/4,EW,NS,RNG,SEC,TWP,Latitude,Longitude,SHLOILPCT,WATERPCT,SHLRSDPCT,GASPLSPCT,OILGPT,WATERGPT,SPCFGRAV,COKETEND,INTVL,INTXOIL,WELLNAME,COREDEP_FT,7_5_QUAD,CORE2,FISCHASSAY_FT,ASSAYLAB,NUMB_ASSAYS,LOCATNOTE,USBMNO,XRD,MISCNOTE,,WKPKISOP,TIPTISOP,LCWPTPISOP
W0080,BF1,17863,7910027,447.3,447.8,0.5,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.2,1.5,96.3,1,3.2,3.6,0,1,0.5,1.6,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",-324.0024,1063.1,161,1449.9
W0080,BF1,17864,7910028,447.8,449.6,1.8,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.2,7.2,91.4,1.2,0.4,17.3,0,1,1.8,0.72,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17865,7910029,449.6,451.2,1.6,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.2,2.5,96.1,1.2,0.4,6,0,1,1.6,0.64,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17866,7910030,451.2,452.2,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.5,0.7,98.1,0.7,1.2,1.7,0,1,1,1.2,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17867,7910031,452.2,453.2,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.8,0.8,97.7,0.7,2.1,1.9,0,1,1,2.1,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17868,7910032,453.2,454.5,1.3,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.5,2.5,93.8,1.2,6.5,6,0.915,1,1.3,8.45,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17869,7910033,454.5,456.3,1.8,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,8.4,1.5,87.1,3,22.2,3.6,0.906,1,1.8,39.96,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17870,7910034,456.3,457.5,1.2,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,4.5,1.7,91.7,2.1,11.9,4.1,0.914,1,1.2,14.28,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17871,7910035,457.5,458.5,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.4,1.6,96.7,1.3,1,3.8,0,1,1,1,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17872,7910036,458.5,459.9,1.4,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.1,0.7,97.2,1,2.7,1.7,0,1,1.4,3.78,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
